Topic,Sentiment,TweetText,TweetDate,TweetId
apple,neutral,apple:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx,Mon Dec 01 19:30:03 +0000 2014,5.4e+17
apple,neutral,My cat only chews @apple cords. Such an #AppleSnob.,Mon Dec 01 19:50:28 +0000 2014,5.4e+17
apple,neutral,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple apple, it's extended so today's pullback is good to see",Mon Dec 01 20:26:34 +0000 2014,5.4e+17
apple,neutral,Nobody expects the Spanish Inquisition apple,Mon Dec 01 20:29:33 +0000 2014,5.4e+17
apple,neutral,apple:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS,Mon Dec 01 20:30:03 +0000 2014,5.4e+17
apple,positive,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB,Mon Dec 01 20:32:45 +0000 2014,5.4e+17
apple,positive,CNBCTV: #Apple's margins better than expected? apple http://t.co/7geVrtOGLK,Mon Dec 01 20:34:31 +0000 2014,5.4e+17
apple,neutral,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj apple,Mon Dec 01 20:36:47 +0000 2014,5.4e+17
apple,neutral,apple:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd,Mon Dec 01 20:45:03 +0000 2014,5.4e+17
apple,negative,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,Mon Dec 01 20:46:01 +0000 2014,5.4e+17
apple,neutral,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 apple #iWatch #AppleWatch,Mon Dec 01 20:47:12 +0000 2014,5.4e+17
apple,neutral,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz",Mon Dec 01 21:00:15 +0000 2014,5.4e+17
apple,positive,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3,Mon Dec 01 21:03:32 +0000 2014,5.4e+17
apple,negative,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync,Mon Dec 01 21:09:50 +0000 2014,5.4e+17
apple,neutral,apple @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors,Mon Dec 01 21:29:45 +0000 2014,5.4e+17
apple,negative,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,Mon Dec 01 21:35:14 +0000 2014,5.4e+17
apple,neutral,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?,Mon Dec 01 21:53:12 +0000 2014,5.4e+17
