Sentiment,TweetId,TweetDate,Topic,TweetText
positive,4,Mon May 11 03:18:03 UTC 2009,kindle2,Reading my kindle2...  Love it... Lee childs is good read. @kindle2
positive,5,Mon May 11 03:18:54 UTC 2009,kindle2,"Ok, first assesment of the #kindle2 ...it fucking rocks!!! @kindle2"
positive,6,Mon May 11 03:19:04 UTC 2009,kindle2,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :) @kindle2
positive,7,Mon May 11 03:21:41 UTC 2009,kindle2,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :) @kindle2
positive,8,Mon May 11 03:22:00 UTC 2009,kindle2,@richardebaker no. it is too big. I'm quite happy with the Kindle2. @kindle2
negative,9,Mon May 11 03:22:30 UTC 2009,aig,Fuck this economy. I hate aig and their non loan given asses. @aig
positive,10,Mon May 11 03:26:10 UTC 2009,jquery,Jquery is my new best friend. @jquery
positive,11,Mon May 11 03:27:15 UTC 2009,twitter,Loves twitter @twitter
positive,12,Mon May 11 03:29:20 UTC 2009,obama,how can you not love Obama? he makes jokes about himself. @obama
neutral,13,Mon May 11 03:32:42 UTC 2009,obama,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM @obama
negative,14,Mon May 11 03:32:48 UTC 2009,obama,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism @obama"
positive,15,Mon May 11 03:33:38 UTC 2009,obama,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation @obama"
positive,16,Mon May 11 05:05:58 UTC 2009,nike,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!! @nike
negative,17,Mon May 11 05:06:22 UTC 2009,nike,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x @nike"
positive,18,Mon May 11 05:20:15 UTC 2009,lebron,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2 @lebron"
negative,19,Mon May 11 05:20:28 UTC 2009,lebron,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James. @lebron
positive,20,Mon May 11 05:21:04 UTC 2009,lebron,i love lebron. http://bit.ly/PdHur @lebron
negative,21,Mon May 11 05:21:37 UTC 2009,lebron,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end. @lebron"
positive,22,Mon May 11 05:21:45 UTC 2009,lebron,@Pmillzz lebron IS THE BOSS @lebron
positive,23,Mon May 11 05:22:03 UTC 2009,lebron,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol @lebron"
positive,24,Mon May 11 05:22:12 UTC 2009,lebron,lebron and zydrunas are such an awesome duo @lebron
positive,25,Mon May 11 05:22:37 UTC 2009,lebron,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close. @lebron
positive,26,Mon May 11 06:02:24 UTC 2009,iphone app,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything. @iphone app
positive,33,Mon May 11 19:47:29 UTC 2009,visa,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing! @visa"
positive,34,Mon May 11 19:49:21 UTC 2009,fredwilson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson) @fredwilson
positive,35,Mon May 11 19:50:07 UTC 2009,fredwilson,In montreal for a long weekend of R&amp;R. Much needed. @fredwilson
positive,46,Thu May 14 02:58:07 UTC 2009,"""booz allen""","Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv @""booz allen"""
