Sentiment,Topic,TweetText,TweetId,TweetDate
neutral,virginamerica,@VirginAmerica What @dhepburn said.,5.70E+17,2/24/2015 11:35
positive,virginamerica,@VirginAmerica plus you've added commercials to the experience... tacky.,5.70E+17,2/24/2015 11:15
neutral,virginamerica,@VirginAmerica I didn't today... Must mean I need to take another trip!,5.70E+17,2/24/2015 11:15
negative,virginamerica,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",5.70E+17,2/24/2015 11:15
negative,virginamerica,@VirginAmerica and it's a really big bad thing about it,5.70E+17,2/24/2015 11:14
negative,virginamerica,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",5.70E+17,2/24/2015 11:14
positive,virginamerica,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",5.70E+17,2/24/2015 11:13
neutral,virginamerica,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",5.70E+17,2/24/2015 11:12
positive,virginamerica,"@virginamerica Well, I didn't…but NOW I DO! :-D",5.70E+17,2/24/2015 11:11
positive,virginamerica,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",5.70E+17,2/24/2015 10:53
neutral,virginamerica,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,5.70E+17,2/24/2015 10:48
positive,virginamerica,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,5.70E+17,2/24/2015 10:30
positive,virginamerica,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,5.70E+17,2/24/2015 10:30
positive,virginamerica,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,5.70E+17,2/24/2015 10:21
positive,virginamerica,@VirginAmerica Thanks!,5.70E+17,2/24/2015 10:15
negative,virginamerica,@VirginAmerica SFO-PDX schedule is still MIA.,5.70E+17,2/24/2015 10:01
positive,virginamerica,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,5.70E+17,2/24/2015 9:42
negative,virginamerica,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,5.70E+17,2/24/2015 9:39
positive,virginamerica,I ❤️ flying @VirginAmerica. ☺️👍,5.70E+17,2/24/2015 9:15
positive,virginamerica,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,5.70E+17,2/24/2015 9:04
negative,virginamerica,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,5.70E+17,2/24/2015 8:55
positive,virginamerica,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,5.70E+17,2/24/2015 8:49
positive,virginamerica,@VirginAmerica I love the hipster innovation. You are a feel good brand.,5.70E+17,2/24/2015 8:30
neutral,virginamerica,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,5.70E+17,2/24/2015 8:27
negative,virginamerica,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,5.70E+17,2/24/2015 8:18
negative,virginamerica,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,5.70E+17,2/24/2015 7:49
negative,virginamerica,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,5.70E+17,2/24/2015 7:11
neutral,virginamerica,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,5.70E+17,2/24/2015 5:44
negative,virginamerica,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,5.70E+17,2/24/2015 5:05
neutral,virginamerica,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,5.70E+17,2/23/2015 23:34
negative,virginamerica,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",5.70E+17,2/23/2015 22:52
neutral,virginamerica,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,5.70E+17,2/23/2015 21:35
negative,virginamerica,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",5.70E+17,2/23/2015 21:10
negative,virginamerica,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",5.70E+17,2/23/2015 20:55
positive,virginamerica,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,5.70E+17,2/23/2015 20:24
neutral,virginamerica,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,5.70E+17,2/23/2015 18:46
positive,virginamerica,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,5.70E+17,2/23/2015 18:43
positive,virginamerica,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",5.70E+17,2/23/2015 18:19
neutral,virginamerica,@VirginAmerica when can I book my flight to Hawaii??,5.70E+17,2/23/2015 17:54
negative,virginamerica,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,5.70E+17,2/23/2015 17:41
positive,virginamerica,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",5.70E+17,2/23/2015 17:32
negative,virginamerica,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",5.70E+17,2/23/2015 17:00
neutral,virginamerica,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,5.70E+17,2/23/2015 16:24
neutral,virginamerica,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,5.70E+17,2/23/2015 16:20
neutral,virginamerica,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,5.70E+17,2/23/2015 16:13
positive,virginamerica,@VirginAmerica I'm #elevategold for a good reason: you rock!!,5.70E+17,2/23/2015 16:08
neutral,virginamerica,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,5.70E+17,2/23/2015 16:04
positive,virginamerica,@VirginAmerica wow this just blew my mind,5.70E+17,2/23/2015 16:01
neutral,virginamerica,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,5.70E+17,2/23/2015 16:01
neutral,virginamerica,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,5.70E+17,2/23/2015 15:58
neutral,virginamerica,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",5.70E+17,2/23/2015 15:55
positive,virginamerica,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,5.70E+17,2/23/2015 15:46
neutral,virginamerica,@VirginAmerica wish you flew out of Atlanta... Soon?,5.70E+17,2/23/2015 15:36
neutral,virginamerica,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,5.70E+17,2/23/2015 15:24
